Asociación,Actividad Subvencionada ,Importe,Justificación requerida,Justificación recibida
AMPA PARQUE CATALUÑA,PARTICIPACIÓN FAPA,64,No,No
AMPA PARQUE CATALUÑA,NAVIDAD,455,Sí,No
AMPA PARQUE CATALUÑA,DIA DEL LIBRO,175.44,No,No
AMPA PROFESOR TIERNO GALVÁN,FIESTA FIN DE CURSO,300,No,No
AMPA PROFESOR TIERNO GALVÁN,FAPA,80,No,No
AMPA PROFESOR TIERNO GALVÁN,DIA DEL LIBRO,306,Sí,No
AMPA PROFESOR TIERNO GALVÁN,DIA DE SAN ISIDRO,100,No,No
AMPA PROFESOR TIERNO GALVÁN,CONCURSO DE CHRISTMAS,250,No,No
AMPA PROFESOR TIERNO GALVÁN,FIESTA NAVIDAD,250,No,No
AMPA SEIS DE DICIEMBRE,EXCURSION GRANJA TALAMANCA,476,Sí,No
AMPA SEIS DE DICIEMBRE,NAVIDAD,320,Sí,No
AMPA SEIS DE DICIEMBRE,CUENTACUENTOS AMBIENTALES,280,No,No
AMPA SEIS DE DICIEMBRE,FIN DE CURSO,256,No,No
AMPA SEIS DE DICIEMBRE,FESTIVAL FIN DE CURSO,100,No,No
AMPA SEIS DE DICIEMBRE,AGENDA ESCOLAR,518,Sí,No
AMPA VALDEPALITOS,VISITA MUSEO DEL VIDRIO,385.5,Sí,No
AMPA VALDEPALITOS,SALIDAS CULTURALES EN FAMILIA,490,Sí,No
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DISFRACES,190,No,No
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA ESPAÑOLA,190,No,No
AMPA VALDEPALITOS,TALLER EXTRAESCOLAR DANZA MODERNA,90,No,No
AMPA VALDEPALITOS,FIESTA FIN DE CURSO,690,Sí,No
AMPA VALDEPALITOS,FESTIVAL DANZA Y TEATRO,210,No,No
AMPA VALDEPALITOS,CEREMONIA GRADUACION 6º PRIMARIA,170,No,No
AMPA VALDEPALITOS,ORLA PARA 6º PRIMARIA,110,No,No
AMPA VALDEPALITOS,CEREMONIA GRADUACION INFANTIL,180,No,No
AMPA VALDEPALITOS,BOLETIN APA,260,No,No
AMPA VALDEPALITOS,PARTICIPACION FAPA ALCOBENDAS,64,No,No
AMPA VALDEPALITOS,PARTICIPACION FESTIVAL FAPA,260,No,No
AMPA VALDEPALITOS,PARTICIPACION FAPA GINER DE LOS RIOS,160,No,No
AMPA VALDEPALITOS,FIESTA DE NAVIDAD,180,No,No
AMPA VALDEPALITOS,TORNEO MULTIDEPORTE,120,No,No
AMPA VALDEPALITOS,SEMANA CULTURAL,180,No,No
AMPA LA CHOPERA,SEMANA DEL LIBRO,990,Sí,No
AMPA LA CHOPERA,TALLER DE MUSICA,120,No,No
AMPA LA CHOPERA,FIESTA GRADUACION,320,Sí,No
AMPA EL CUQUILLO,SEMANA DEL LIBRO,610,Sí,No
AMPA EL CUQUILLO,DIA DE LA INFANCIA,150,No,No
AMPA EL CUQUILLO,FIESTA FIN DE CURSO Y GRADUACION,368,Sí,No
AMPA EL CUQUILLO,FIESTA NAVIDAD,379.83,Sí,No
AMPA VALDELAPARRA,SEMANA DEL LIBRO Y FERIA DEL LIBRO,685,Sí,No
AMPA VALDELAPARRA,EL HUERTO,70,No,No
AMPA VALDELAPARRA,TALLER DEL NIDO,95,No,No
AMPA VALDELAPARRA,FIESTA GRADUACION,670,Sí,No
AMPA VALDELAPARRA,QUERIDOS REYES MAGOS,590,Sí,No
AMPA VALDELAPARRA,FERIA DE LAS ASOCIACIONES,150,No,No
AMPA VALDELAPARRA,SAN ISIDRO,205,No,No
AMPA RIVENDEL,DIA DE LA PAZ,230,No,No
AMPA RIVENDEL,SEMANA CULTURAL Y DIA DEL LIBRO,794,Sí,No
AMPA RIVENDEL,VISITA GRANJA ESCUELA,115,No,No
AMPA RIVENDEL,FIESTA FIN DE CURSO,700,Sí,No
AMPA RIVENDEL,PERTENENCIA A LA FAPA,64,No,No
AMPA RIVENDEL,CARNAVAL,157,No,No
AMPA RIVENDEL,BELEN NAVIDEÑO,40,No,No
AMPA RIVENDEL,FIESTA DE NAVIDAD,100,No,No
AMPA AGORA,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVICENCIA",501.67,Sí,No
AMPA AGORA,ANIMACION A LA LECTURA,560,Sí,No
AMPA AGORA,SALIDA AL TEATRO,240,No,No
AMPA AGORA,EXCURSION CULTURAL VISITA CORRALAS DE MADRID,120,No,No
AMPA AGORA,CONCURSO FOTOGRAFICO CONSTITUCION,160,No,No
AMPA AGORA,ACTO DE GRADUACIÓN,300,No,No
AMPA AGORA,INTERCAMBIO DE LIBROS DE TEXTO,80,No,No
AMPA AGORA,JORNADA DE CONVIVENCIA,250,No,No
AMPA AGORA,MILLA ESCOLAR,210,No,No
AMPA ALDEBARAN,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA",980.05,Sí,No
AMPA ALDEBARAN,ANIMACION A LA LECTURA,302,Sí,No
AMPA ALDEBARAN,PRACTICANDO IDIOMAS,278,No,No
AMPA ALDEBARAN,CONCURSO DE TARJETAS NAVIDEÑAS,190,No,No
AMPA ALDEBARAN,GRADUACION ALUMNOS BACHILLER,220,No,No
AMPA ALDEBARAN,BOLETIN INFORMATIVO,587,Sí,No
AMPA ALDEBARAN,PARTICIPACION EN FAPAS,260,No,No
AMPA ALDEBARAN,TALLER CHAPAS E IMANES,290,No,No
AMPA GINER DE LOS RIOS,CERTAMEN TARJETA NAVIDAD,673,Sí,No
AMPA GINER DE LOS RIOS,CERTAMEN DE RELATO Y POESIA,320,Sí,No
AMPA GINER DE LOS RIOS,CERTAMEN RECREANDO EL JARDIN DEL GINER,160,No,No
AMPA GINER DE LOS RIOS,CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN,120,No,No
AMPA GINER DE LOS RIOS,CEREMONIA GRADUACION BACHILLERATO,270,No,No
AMPA GINER DE LOS RIOS,LIBRO DE RELATO Y POESIAS LA PLUMA LITERARIA,290,No,No
AMPA GINER DE LOS RIOS,PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID,225,No,No
AMPA SEVERO OCHOA,TALLER DE MOTIVACION Y AUTOESTIMA,981.97,Sí,No
AMPA SEVERO OCHOA,TALLER DE TECNICAS DE ESTUDIO,600,Sí,No
AMPA SEVERO OCHOA,CONFERENCIA COLOQUIO SOBRE PREVENCION DEL FRACASO ESCOLAR,450,Sí,No
AMPA SEVERO OCHOA,EXPOSICION Y EDICION ALBUM FOTOGRAFICO INTERCAMBIO EEUU,340,Sí,No
AMPA SEVERO OCHOA,EXCURSION FIN DE CURO A PARQUE ECO-AVENTURA,480,Sí,No
AMPA SEVERO OCHOA,GRADUACION CICLOS Y BACHILLERATOS,240,No,No
AMPA SEVERO OCHOA,FERIA DE ASOCIACIONES DE ALCOBENDAS,40,No,No
AMPA SEVERO OCHOA,PERTENENCIA A FAPA ALCOBENDAS,64,No,No
AMPA SEVERO OCHOA,TORNEO DE AJEDREZ,48,No,No
AMPA SEVERO OCHOA,FIESTA DE NAVIDAD,320,Sí,No
AMPA VIRGEN DE LA PAZ,JORNADA LUDICO DEPORTIVA FIN DE CURSO,927.45,Sí,No
AMPA VIRGEN DE LA PAZ,PARTICIPACION FAPA ALCOBENDAS Y GINER DE LOS RIOS,176,No,No
AMPA VIRGEN DE LA PAZ,ACTO DE GRADUACIÓN,121,No,No
AMPA VIRGEN DE LA PAZ,PARTICIPACION EN FERIA DE LAS ASOCIACIONES,40,No,No
AMPA VIRGEN DE LA PAZ,TORNEO DEPORTIVO FUTBOL SALA,152,No,No
AMPA JUAN XXIII,TALLER DE MANUALIDADES,800,Sí,No
AMPA JUAN XXIII,TALLER DE JUEGOS DIDACTICOS,448,Sí,No
AMPA JUAN XXIII,TALLER DE MAGIA,533.98,Sí,No
AMPA SAN ANTONIO,GRANJA ESCUELA,895,Sí,No
AMPA SAN ANTONIO,VISITA AL PARQUE DE AVENTURAS AMAZONIA,576,Sí,No
AMPA SAN ANTONIO,ASISTENCIA AL CIRCO MUNDIAL,630.83,Sí,No
AMPA PADRE  MANYANET,FERIA DE LA SEMANA CULTURAL,800,Sí,No
AMPA PADRE  MANYANET,BIBLIOTECA DE EDUCACION PRIMARIA DE LA APA,803.82,Sí,No
AMPA PADRE  MANYANET,FERIA DE ROBOTICA,720,Sí,No
AMPA PADRE  MANYANET,LUDOTECA FIESTA FIN DE CURSO,372,Sí,No
AMPA FAPA,JORNADA FAPA-APAS: ENCUENTROS DE PARTICIPACION,720,Sí,No
AMPA FAPA,25 ANIVERSARIO FAPA ALCOBENDAS,1515,Sí,No
AMPA FAPA,"REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS",963.43,Sí,No
